track_name,album_name,danceability,energy,loudness,acousticness,instrumentalness,tempo,speechiness,liveness,valence
Born To Die,Born to Die (all versions),0.316,0.636,-6.631,0.186,1.6e-4,171.564,0.0424,0.198,0.4
Off To The Races,Born to Die (all versions),0.392,0.724,-5.566,0.0633,0.00192,160.09,0.0594,0.407,0.129
Blue Jeans,Born to Die (all versions),0.565,0.834,-4.472,0.411,0,117.935,0.0622,0.0811,0.49
Video Games,Born to Die (all versions),0.251,0.256,-9.682,0.812,0,82.29,0.0311,0.0884,0.168
Diet Mountain Dew,Born to Die (all versions),0.459,0.684,-5.971,0.285,0,175.728,0.0881,0.425,0.605
National Anthem,Born to Die (all versions),0.538,0.901,-5.999,0.542,1.52e-4,84.951,0.215,0.101,0.423
Dark Paradise,Born to Die (all versions),0.579,0.636,-8.354,0.117,0,120.041,0.0649,0.172,0.403
Radio,Born to Die (all versions),0.326,0.843,-5.242,0.219,2.63e-5,75.139,0.0893,0.0877,0.167
Carmen,Born to Die (all versions),0.506,0.424,-9.568,0.0864,3.76e-4,100.017,0.0317,0.127,0.038
Million Dollar Man,Born to Die (all versions),0.201,0.586,-5.979,0.494,0,195.767,0.0566,0.0662,0.532
Summertime Sadness,Born to Die (all versions),0.564,0.649,-6.811,0.051,0,111.949,0.0333,0.121,0.201
This Is What Makes Us Girls,Born to Die (all versions),0.534,0.837,-6.9,0.101,0.0211,138.04,0.104,0.19,0.423
Video Games - White Lies C-Mix,Born to Die (all versions),0.603,0.678,-6.108,8.37e-5,0.102,122.494,0.037,0.0775,0.379
Without You,Born to Die (all versions),0.588,0.579,-8.419,0.702,1.71e-4,111.958,0.0366,0.126,0.603
Lolita,Born to Die (all versions),0.505,0.939,-4.285,0.0788,3.99e-5,136.02,0.0992,0.339,0.152
Lucky Ones,Born to Die (all versions),0.347,0.422,-7.187,0.781,6.81e-6,135.038,0.0284,0.182,0.33
Ride,Born to Die (all versions),0.373,0.686,-5.52,0.128,1.96e-6,93.763,0.034,0.383,0.189
American,Born to Die (all versions),0.397,0.585,-6.518,0.535,4.38e-4,143.983,0.0359,0.0976,0.18
Cola,Born to Die (all versions),0.298,0.668,-5.536,0.0699,2.44e-5,110.063,0.0478,0.59,0.121
Body Electric,Born to Die (all versions),0.245,0.492,-9.397,0.466,0,167.7,0.0593,0.0851,0.104
Blue Velvet,Born to Die (all versions),0.189,0.317,-8.631,0.812,0.0719,84.809,0.028,0.214,0.251
Gods & Monsters,Born to Die (all versions),0.352,0.725,-6.463,0.00193,2.73e-6,189.767,0.0656,0.22,0.339
Yayo,Born to Die (all versions),0.506,0.201,-12.931,0.926,4.11e-4,71.925,0.0294,0.253,0.145
Bel Air,Born to Die (all versions),0.346,0.42,-11.506,0.864,0.0875,83.56,0.0298,0.901,0.303
Blue Jeans - Remastered 2011,Born to Die (all versions),0.553,0.828,-4.399,0.432,0,117.948,0.0635,0.0801,0.504
Burning Desire,Born to Die (all versions),0.481,0.641,-10.8,0.842,0.00454,131.812,0.132,0.134,0.161
Blue Velvet - Penguin Prison Remix,Born to Die (all versions),0.77,0.602,-10.204,3.18e-4,0.841,112.014,0.0488,0.078,0.525
Summertime Sadness - Todd Terry Remix,Born to Die (all versions),0.803,0.891,-7.324,0.0134,0.124,124.978,0.0773,0.175,0.514
National Anthem - bretonLABS Remix,Born to Die (all versions),0.665,0.574,-5.884,0.0292,0.0022,169.972,0.145,0.13,0.459
Blue Jeans - RAC Mix,Born to Die (all versions),0.71,0.833,-4.186,0.299,0.00691,118.001,0.0466,0.0842,0.397
Born To Die - Kris Di Angelis 'Love Below' Remix,Born to Die (all versions),0.794,0.687,-8.23,0.0122,0.703,122.997,0.0379,0.0781,0.194
Video Games - Jakwob and Etherwood Remix,Born to Die (all versions),0.53,0.986,-2.438,0.0014,0.475,154.992,0.0436,0.313,0.426
Born To Die - Woodkid & The Shoes Remix,Born to Die (all versions),0.577,0.678,-8.847,0.113,0.264,92.988,0.0463,0.308,0.206
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Extended Remix,Born to Die (all versions),0.64,0.895,-6.396,0.0405,0.00203,126.004,0.0564,0.047,0.112
Ride - Photek Remix,Born to Die (all versions),0.581,0.69,-4.15,0.301,0,104.004,0.034,0.153,0.484
Cruel World,Ultraviolence (all versions),0.325,0.506,-6.398,0.282,5.36e-6,120.505,0.0336,0.124,0.212
Ultraviolence,Ultraviolence (all versions),0.144,0.541,-7.076,0.278,1.01e-5,79.262,0.038,0.101,0.0899
Shades Of Cool,Ultraviolence (all versions),0.262,0.482,-6.863,0.554,0.0161,137.918,0.0302,0.244,0.0878
Brooklyn Baby,Ultraviolence (all versions),0.404,0.664,-6.698,0.542,0.00402,107.747,0.0407,0.11,0.0949
West Coast,Ultraviolence (all versions),0.527,0.591,-7.664,0.194,0.0194,123.167,0.0396,0.0907,0.461
Sad Girl,Ultraviolence (all versions),0.345,0.587,-8.346,0.539,0.0731,119.479,0.0364,0.119,0.258
Pretty When You Cry,Ultraviolence (all versions),0.509,0.547,-6.548,0.399,0,109.436,0.0417,0.215,0.197
